#Tab-seperated file originally sourced from http://www.chem.qmul.ac.uk/iupac/AtWt/index.html on 2009.04.23 by Ian T. Daniher
#At No	Symbol	Name	Atomic Wt	Notes
1	H	Hydrogen	1.00794	1, 2, 3
2	He	Helium	4.002602	1, 2
3	Li	Lithium	[6.941]	1, 2, 3, 4
4	Be	Beryllium	9.012182
5	B	Boron	10.811	1, 2, 3
6	C	Carbon	12.0107	1, 2
7	N	Nitrogen	14.0067	1, 2
8	O	Oxygen	15.9994	1, 2
9	F	Fluorine	18.9984032
10	Ne	Neon	20.1797	1, 3
11	Na	Sodium	22.98976928
12	Mg	Magnesium	24.3050
13	Al	Aluminium	26.9815386
14	Si	Silicon	28.0855	2
15	P	Phosphorus	30.973762
16	S	Sulfur	32.065	1, 2
17	Cl	Chlorine	35.453	3
18	Ar	Argon	39.948	1, 2
19	K	Potassium	39.0983	1
20	Ca	Calcium	40.078	1
21	Sc	Scandium	44.955912
22	Ti	Titanium	47.867
23	V	Vanadium	50.9415
24	Cr	Chromium	51.9961
25	Mn	Manganese	54.938045
26	Fe	Iron	55.845
27	Co	Cobalt	58.933195
28	Ni	Nickel	58.6934
29	Cu	Copper	63.546	2
30	Zn	Zinc	65.38	
31	Ga	Gallium	69.723
32	Ge	Germanium	72.64
33	As	Arsenic	74.92160
34	Se	Selenium	78.96
35	Br	Bromine	79.904
36	Kr	Krypton	83.798	1, 3
37	Rb	Rubidium	85.4678	1
38	Sr	Strontium	87.62	1, 2
39	Y	Yttrium	88.90585
40	Zr	Zirconium	91.224	1
41	Nb	Niobium	92.90638
42	Mo	Molybdenum	95.96	1
43	Tc	Technetium	[98]	5
44	Ru	Ruthenium	101.07	1
45	Rh	Rhodium	102.90550
46	Pd	Palladium	106.42	1
47	Ag	Silver	107.8682	1
48	Cd	Cadmium	112.411	1
49	In	Indium	114.818
50	Sn	Tin	118.710	1
51	Sb	Antimony	121.760	1
52	Te	Tellurium	127.60	1
53	I	Iodine	126.90447
54	Xe	Xenon	131.293	1, 3
55	Cs	Caesium	132.9054519
56	Ba	Barium	137.327
57	La	Lanthanum	138.90547	1
58	Ce	Cerium	140.116	1
59	Pr	Praseodymium	140.90765
60	Nd	Neodymium	144.242	1
61	Pm	Promethium	[145]	5
62	Sm	Samarium	150.36	1
63	Eu	Europium	151.964	1
64	Gd	Gadolinium	157.25	1
65	Tb	Terbium	158.92535
66	Dy	Dysprosium	162.500	1
67	Ho	Holmium	164.93032
68	Er	Erbium	167.259	1
69	Tm	Thulium	168.93421
70	Yb	Ytterbium	173.054	1
71	Lu	Lutetium	174.9668	1
72	Hf	Hafnium	178.49
73	Ta	Tantalum	180.94788
74	W	Tungsten	183.84
75	Re	Rhenium	186.207
76	Os	Osmium	190.23	1
77	Ir	Iridium	192.217
78	Pt	Platinum	195.084
79	Au	Gold	196.966569
80	Hg	Mercury	200.59
81	Tl	Thallium	204.3833
82	Pb	Lead	207.2	1, 2
83	Bi	Bismuth	208.98040
84	Po	Polonium	[209]	5
85	At	Astatine	[210]	5
86	Rn	Radon	[222]	5
87	Fr	Francium	[223]	5
88	Ra	Radium	[226]	5
89	Ac	Actinium	[227]	5
90	Th	Thorium	232.03806	1, 5
91	Pa	Protactinium	231.03588	5
92	U	Uranium	238.02891	1, 3, 5
93	Np	Neptunium	[237]	5
94	Pu	Plutonium	[244]	5
95	Am	Americium	[243]	4
96	Cm	Curium	[247]	4
97	Bk	Berkelium	[247]	4
98	Cf	Californium	[251]	4
99	Es	Einsteinium	[252]	4
100	Fm	Fermium	[257]	4
101	Md	Mendelevium	[258]	4
102	No	Nobelium	[259]	4
103	Lr	Lawrencium	[262]	4
104	Rf	Rutherfordium	[267]	4
105	Db	Dubnium	[270]	4
106	Sg	Seaborgium	[269]	4
107	Bh	Bohrium	[270]	4
108	Hs	Hassium	[270]	4
109	Mt	Meitnerium	[278]	4
110	Ds	Darmstadtium	[281]	4
111	Rg	Roentgenium	[281]	4
112	Cn	Copernicium	[285]	4
113	Nh	Nihonium	[286]	4
114	Fl	Flerovium	[289]	4
115	Mc	Moscovium	[289]	4
116	Lv	Livermorium	[293]	4
117	Ts	Tennessine	[293]	4
118	Og	Oganesson	[294]	4
